=== Experiment Config ===
Scheduler: fifo
Backend: cycle_stub
Workload: synthetic
KeySwitchMethod: fast
Seed: 123
NumCards: 1
NumUsers: 1
EnableMultiCard: false
KeySwitchMultiBoardMode: auto
SyntheticRequestsPerUser: 1
SyntheticInterArrival: 300
SyntheticStartTime: 0
BurstBursts: 4
BurstRequestsPerUserPerBurst: 2
BurstIntraGap: 20
BurstInterGap: 1200
BurstStartTime: 0
BurstLevel: 1
NumPools: 1
PoolConfigSource: built-in default
TreeConfigSource: built-in default
HEParamsSource: built-in default
CSVOutput: results/metrics_fast.csv
DumpLogicalGraph: true
DumpRuntimePlan: true
=========================
Emitted group 80: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7077888
Emitted group 81: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 82: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 83: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 84: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 85: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 86: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 87: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 88: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 89: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 90: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 91: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 92: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 93: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 94: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 95: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 96: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 97: store_intermediate, kind=1, bytes=524288, work_items=0, micro_ops=2, est_cycles/op=182, total_est_cycles=346, bram_live=6815744
Emitted group 98: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6291456
Emitted group 99: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=6553600
Emitted group 100: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6553600
Emitted group 101: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=6815744
Emitted group 102: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6815744
Emitted group 103: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7077888
Emitted group 104: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 105: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 106: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 107: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 108: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 109: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 110: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 111: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 112: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 113: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 114: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 115: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 116: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 117: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 118: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 119: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 120: store_intermediate, kind=1, bytes=524288, work_items=0, micro_ops=2, est_cycles/op=182, total_est_cycles=346, bram_live=6815744
Emitted group 121: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6291456
Emitted group 122: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=6553600
Emitted group 123: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6553600
Emitted group 124: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=6815744
Emitted group 125: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6815744
Emitted group 126: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7077888
Emitted group 127: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 128: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 129: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 130: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 131: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
